BOROUGH,tf_ampm,tf_hour,tf_min_block,avg_speed,CI
Staten Island,PM,02,00,36.93015197934364,0.2613969604131272
Staten island,AM,10,00,37.64688837209302,0.24706223255813964
Staten island,AM,03,15,40.596891216377045,0.1880621756724591
Staten Island,AM,07,00,38.86129765245367,0.2227740469509265
Staten island,AM,04,00,40.71541108986614,0.18569177820267724
Staten Island,PM,10,45,40.424204646644554,0.19151590706710886
Staten Island,PM,11,30,40.75034170540957,0.1849931658918087
Manhattan,AM,02,15,23.06083793502488,0.5387832412995024
Staten island,AM,12,45,39.96125890736342,0.20077482185273154
Staten Island,PM,04,45,33.48791446237491,0.33024171075250175
Staten Island,AM,09,45,38.05823695631603,0.23883526087367946
Staten Island,PM,05,30,32.742890642268215,0.34514218715463574
Staten island,AM,06,45,40.43940586972084,0.1912118826055833
Manhattan,AM,03,00,23.60512262621224,0.5278975474757552
Staten island,PM,01,45,35.85776553341149,0.2828446893317702
Staten island,AM,07,30,39.67824864098324,0.20643502718033513
Staten island,PM,02,30,35.16222403733956,0.29675551925320875
Manhattan,AM,11,45,22.86633002169693,0.5426733995660614
Bronx,AM,01,00,38.841950855198995,0.22316098289602015
Brooklyn,AM,11,15,33.14640294651064,0.3370719410697872
Manhattan,AM,12,30,22.936897068671612,0.5412620586265677
Manhattan,AM,05,45,30.62557416379392,0.38748851672412155
Staten island,PM,09,15,39.76967857999522,0.20460642840009557
Manhattan,AM,06,30,27.876334477030305,0.44247331045939386
Brooklyn,AM,05,15,41.99943479689593,0.1600113040620813
Brooklyn,AM,12,00,39.1695732997983,0.21660853400403401
Manhattan,PM,01,30,23.22815340132956,0.5354369319734088
Brooklyn,AM,06,00,38.87848797951358,0.22243024040972836
Brooklyn,PM,01,00,33.65035005516095,0.326992998896781
Bronx,AM,03,45,41.74475082185076,0.16510498356298486
Bronx,AM,10,30,32.003632514384236,0.3599273497123153
Manhattan,PM,08,15,23.76643615213205,0.5246712769573589
Bronx,AM,04,30,42.316582869738674,0.15366834260522655
Manhattan,PM,09,00,24.296837430267598,0.514063251394648
